
result: name0252 ---> mIoU=65.3939%, MSE=0.0318, mAcc=0.1326%, time=0.0060s
result: name0253 ---> mIoU=71.0997%, MSE=0.0191, mAcc=0.2460%, time=0.0070s
result: name0254 ---> mIoU=88.5620%, MSE=0.0041, mAcc=0.4061%, time=0.0070s
result: name0255 ---> mIoU=61.5534%, MSE=0.0150, mAcc=0.6835%, time=0.0070s
result: name0256 ---> mIoU=87.8182%, MSE=0.0024, mAcc=0.3904%, time=0.0060s
result: name0257 ---> mIoU=79.2426%, MSE=0.0111, mAcc=0.2700%, time=0.0060s
result: name0258 ---> mIoU=74.6403%, MSE=0.0020, mAcc=0.2114%, time=0.0060s
result: name0259 ---> mIoU=64.6744%, MSE=0.0103, mAcc=0.3637%, time=0.0060s
result: name0260 ---> mIoU=85.8332%, MSE=0.0063, mAcc=0.5386%, time=0.0060s
result: name0261 ---> mIoU=87.5683%, MSE=0.0030, mAcc=0.3399%, time=0.0070s
result: name0262 ---> mIoU=87.1943%, MSE=0.0035, mAcc=0.2992%, time=0.0060s
result: name0263 ---> mIoU=68.1665%, MSE=0.0288, mAcc=0.2588%, time=0.0060s
result: name0264 ---> mIoU=77.5688%, MSE=0.0108, mAcc=0.6288%, time=0.0070s
result: name0265 ---> mIoU=91.4718%, MSE=0.0050, mAcc=0.3461%, time=0.0070s
result: name0266 ---> mIoU=71.6987%, MSE=0.0128, mAcc=0.6285%, time=0.0070s
result: name0267 ---> mIoU=21.8738%, MSE=0.0603, mAcc=0.1767%, time=0.0070s
result: name0268 ---> mIoU=86.7505%, MSE=0.0047, mAcc=0.3420%, time=0.0080s
result: name0269 ---> mIoU=90.9713%, MSE=0.0080, mAcc=0.5337%, time=0.0070s
result: name0270 ---> mIoU=81.0885%, MSE=0.0174, mAcc=0.5152%, time=0.0070s
result: name0271 ---> mIoU=83.4264%, MSE=0.0070, mAcc=0.7332%, time=0.0070s
result: name0272 ---> mIoU=84.3874%, MSE=0.0184, mAcc=0.6680%, time=0.0080s
result: name0273 ---> mIoU=69.1357%, MSE=0.0046, mAcc=0.6319%, time=0.0140s
result: name0274 ---> mIoU=67.6396%, MSE=0.0098, mAcc=0.2464%, time=0.0080s
result: name0275 ---> mIoU=50.6381%, MSE=0.0288, mAcc=0.1557%, time=0.0070s
result: name0276 ---> mIoU=79.1498%, MSE=0.0163, mAcc=0.3994%, time=0.0070s
result: name0277 ---> mIoU=66.9107%, MSE=0.0125, mAcc=0.4461%, time=0.0070s
result: name0278 ---> mIoU=75.0363%, MSE=0.0169, mAcc=0.2932%, time=0.0070s
result: name0279 ---> mIoU=78.9762%, MSE=0.0117, mAcc=0.2268%, time=0.0070s
result: name0280 ---> mIoU=80.9397%, MSE=0.0100, mAcc=0.3088%, time=0.0070s
result: name0281 ---> mIoU=88.5059%, MSE=0.0089, mAcc=0.5737%, time=0.0070s
result: name0282 ---> mIoU=88.5616%, MSE=0.0043, mAcc=0.4945%, time=0.0070s
result: name0283 ---> mIoU=87.0628%, MSE=0.0416, mAcc=0.5564%, time=0.0070s
